Class,Title,Body,Answer
6,What is the best off-road motorcycle trail ?,long-distance trail throughout CA,i hear that the mojave road is amazing!<br />\nsearch for it online.
3,What is Trans Fat? How to reduce that?,I heard that tras fat is bad for the body.  Why is that? Where can we find it in our daily food?,"Trans fats occur in manufactured foods during the process of partial hydrogenation, when hydrogen gas is bubbled through vegetable oil to increase shelf life and stabilize the original polyunsatured oil. The resulting fat is similar to saturated fat, which raises ""bad"" LDL cholesterol and can lead to clogged arteries and heart disease. \nUntil very recently, food labels were not required to list trans fats, and this health risk remained hidden to consumers. In early July, FDA regulations changed, and food labels will soon begin identifying trans fat content in processed foods."
7,How many planes Fedex has?,I heard that it is the largest airline in the world,"according to the www.fedex.com web site:\nAir Fleet<br />\n  <br />\n670 aircraft, including: <br />\n47 Airbus A300-600s  17 Boeing DC10-30s  <br />\n62 Airbus A310-200/300s  36 Boeing MD10-10s  <br />\n2 ATR 72s  5 Boeing MD10-30s  <br />\n29 ATR 42s  57 Boeing MD11s  <br />\n18 Boeing 727-100s  10 Cessna 208As  <br />\n94 Boeing 727-200s  246 Cessna 208Bs  <br />\n30 Boeing DC10-10s  17 Fokker F-27s"
7,"In the san francisco bay area, does it make sense to rent or buy ?","the prices of rent and the price of buying does not make sense to me, mostly the rent will not cover the mortgage . Is it better to rent a house or to buy?","renting vs buying depends on your goals. <br />\ngenerally thinking is that buying is better b/c the payments that would go into the rent start building equity in your home. the govt also incentivizes you to buy by making your property tax payments and mortgage interest payments tax deductible.\nhaving said that current housing status in the bay area is such that housing cost to purchase is relatively high and rental prices (compared to ownership cost) are relatively low (relative to the rest of the country). it makes lese sense to buy vs. other places.\nbottom line you should base your decision on whether you think the market will keep going up or not. the other numbers tend to even out, the main gain or loss in buying comes from appreciation/depreciation."
5,What's the best way to clean a keyboard?,I have very small stuff stuck under my keyboard and it prevents it to from working. What will be the be\nst way to clean it?,"There are commercial kits available, but a can of compressed air, a lint-free cloth or wipes, mild dishwashing liquid, and a vacuum cleaner with a soft brush are all you really need for a basic cleaning. \nAfter turning off your computer and unplugging your keyboard, gently shake the keyboard upside down over some newspaper to dislodge loose crumbs and particles. \nUse the can of compressed air to blow a stream of air between the keys. \nDampen a lint-free cloth with a diluted solution of dishwashing liquid and water to wipe down the keys. \nUse the vacuum cleaner brush attachment to suck away any remaining dirt or debris. <br />\nIf you have a membrane-type keyboard (it doesn't have a spring under each key) and the keys are truly grungy, you can remove the keys with a small screwdriver and use cotton swabs and 90% isopropyl alcohol to get it sparkling clean. If you are still feeling industrious, next you can tackle cleaning your mouse. \nOf course, if cleaning your keyboard seems a truly undesirable task, you can always buy a new one for around $20."
2,Why do people blush when they are embarrassed?,Why do people blush when they are embarrassed?,"from ask yahoo...\nhttp://ask.yahoo.com/ask/20040113.html\n<<Blushing is a unique blend of evolutionary and social behavior. It's an involuntary reaction of the sympathetic nervous system, which is responsible for our ""fight or flight"" response, but blushing is solely triggered by social cues. <br />\nPeople generally blush when they're feeling embarrassed, scared, or stressed. As a result of the ""fight or flight"" response, the capillaries that carry blood to the skin widen, and the increased blood flow lends the face, as well as sometimes the chest, neck, or even the body or legs, a reddened color. \nExcessive facial blushing, or erythrophobia, is caused by overactivity of the sympathetic nervous system. The condition can cause a lot of psychological duress and has engendered several support groups. \nIt's common knowledge that animals don't blush. So while there are some evolutionary cues behind blushing, it's also linked to something uniquely human -- moral consciousness.>>"
8,"Is Lin Qingxia (aka Brigitte Lin) ""the most beautiful woman in Chinese cinema?""",This is according to Stephen Chow (http://www.hkentreview.com/2005/features/kfh/kfhprem.html). Is it true? Who is the best-looking male star? Did they make any movies together?,"Well.  Everyone has different definition on what 'beauty' is.  I like Lin Qingxia, but I think many girls are prettier than she was. (She is more than 40 years old now). \nIf ""Lin Qingxia"" is the most beautiful woman in the Chinese cinema, the most handsome man in Chinese cinema should be ""Chin Han"" because they always made movies together.\nHowever, A male movie star once was asked his girlfriend in real life or the girlfriend in movie is more beautiful.  He gave a very good answer: ""I think my mother is the most beautiful woman in the world.""  :)"
5,"What is the origin of ""foobar""?",I want to know the meaning of the word and how to explain to my friends.,"Not sure if this is the origin, but I think it was popularized in the 1989 film ""Tango & Cash"". After Tango, played by Sylvester Stallone, and Cash, portrayed by Kurt Russell, were thrown into jail and setup in a failed jailbreak attempt, the bad guy Yves Perret (Jack Pallance) locked them in the boiler room with a bunch of felons Tango & Cash had put in jail. Prior to unleashing a can of whoop-ass, their conversation was as follows:\nGabriel Cash: I don't know about you, but I have an aversion to getting F.U.B.A.R...\nRay Tango: What's F.U.B.A.R.?\nGabriel Cash: Fucked-Up Beyond All Recognition."
2,How the human species evolved?,How the human species evolved?,"A tough question as it overlaps science and theology. Since you asked ""how the human species evolved?"" I'll assume you're interested in the scientific approach to the answer.\nThe current theory holds that Homo sapiens evolved from Hominid ancestors over the course of millions of years through a process called natural selection. Natural selection is the weeding and advancement of species variants over time based on the fit in that species' then current environments. The pressures for ""fit"" are competitive (with each other, with other tribes, and with other animals) and environmental (weather, terrain, availability of food, etc.). These factors all contributed to the development of our higher brain, which we now use to evolve as a global collective through communication & technology."
4,Who said the statement below and what does it mean?,"Can someone help me with understanding someone else's wisdom, please?&#xd;<br><br>"" It is very easy in the world to live by the opinion of the world. It is very easy in solitude to be self-centered. But the finished man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude. ""","That is kind of a tricky little quote. Sometimes placing it in context can help. This is a quote from Ralph Waldo Emerson's essay ""Self Reliance,"" which discourages basing one's opinions and actions on common opinion in favor of self-trust (see the full essay at http://www.emersoncentral.com/selfreliance.htm). \nI think the point of this quote is that it's very desireable to have one's own original thoughts and opinions, and to live by them.  It's easier to live by one's own convictions and not be persuaded by others when in isolation (that's the ""independence of solitude""). However, not so special to isolate oneself from others in order to attain this ideal. Because it's difficult to live by one's own thoughts and opinions while being a part of society, it's something only a ""finished man"" can truly do. Also, in the essay, Emerson refers to being childlike - unselfish, non-judgmental, open-minded, uncynical, unhesitant - as something to admire. So I think that's where the seemingly misplaced ""perfect sweetness"" comes in. When a man can remain pure of heart while living in the harsh world and also keeping and living by his own ideals. \nWhat do you think?"
